"","Name","Event","Year","Date","Elo","dElo"
"37099","Paul McBeth","Aussie",2017,2017-01-26,1795.3,1.3
"37202","Eagle McMahon","Aussie",2017,2017-01-26,1678.3,14.4
"37206","Richard Wysocki","Aussie",2017,2017-01-26,1780,7.1
"37635","Simon Lizotte","LVC",2017,2017-02-23,1700.4,6.8
"37658","Nikko Locastro","LVC",2017,2017-02-23,1727.2,3
"37683","James Conrad","LVC",2017,2017-02-23,1606.4,18.6
"37751","Paul McBeth","LVC",2017,2017-02-23,1803.1,7.8
"37854","Eagle McMahon","LVC",2017,2017-02-23,1690.9,12.6
"37858","Richard Wysocki","LVC",2017,2017-02-23,1787.2,7.3
"37918","Anthony Barela","LVC",2017,2017-02-23,1585.1,14
"38203","Joel Freeman","LVC",2017,2017-02-23,1567.2,19.2
"38287","Simon Lizotte","Memorial",2017,2017-03-01,1713.5,13.1
"38310","Nikko Locastro","Memorial",2017,2017-03-01,1731.5,4.3
"38335","James Conrad","Memorial",2017,2017-03-01,1620,13.6
"38340","Matthew Orum","Memorial",2017,2017-03-01,1678.4,8
"38403","Paul McBeth","Memorial",2017,2017-03-01,1810,6.9
"38506","Eagle McMahon","Memorial",2017,2017-03-01,1703.1,12.2
"38510","Richard Wysocki","Memorial",2017,2017-03-01,1793.5,6.2
"38570","Anthony Barela","Memorial",2017,2017-03-01,1607.9,22.8
"38855","Joel Freeman","Memorial",2017,2017-03-01,1581.5,14.3
"38939","Simon Lizotte","Jonesboro",2017,2017-04-13,1724.6,11.1
"38962","Nikko Locastro","Jonesboro",2017,2017-04-13,1740.2,8.7
"38987","James Conrad","Jonesboro",2017,2017-04-13,1638.1,18.1
"39162","Richard Wysocki","Jonesboro",2017,2017-04-13,1799.1,5.6
"39439","Chris Dickerson","Jonesboro",2017,2017-04-13,1640.2,18.5
"39451","Andrew Presnell","Jonesboro",2017,2017-04-13,1555,17.2
"39591","Simon Lizotte","DDO",2017,2017-04-27,1730.3,5.7
"39614","Nikko Locastro","DDO",2017,2017-04-27,1742.3,2.1
"39639","James Conrad","DDO",2017,2017-04-27,1646.3,8.2
"39644","Matthew Orum","DDO",2017,2017-04-27,1683.7,5.3
"39707","Paul McBeth","DDO",2017,2017-04-27,1814.5,4.5
"39810","Eagle McMahon","DDO",2017,2017-04-27,1706.2,3.1
"39814","Richard Wysocki","DDO",2017,2017-04-27,1802.5,3.4
"39891","Calvin Heimburg","DDO",2017,2017-04-27,1581.2,9.4
"39933","Chris Clemons","DDO",2017,2017-04-27,1586,15.2
"40103","Andrew Presnell","DDO",2017,2017-04-27,1567,12.1
"40159","Joel Freeman","DDO",2017,2017-04-27,1588.3,6.8
"40266","Nikko Locastro","Masters Cup",2017,2017-05-19,1739.9,-2.5
"40359","Paul McBeth","Masters Cup",2017,2017-05-19,1820.7,6.2
"40466","Richard Wysocki","Masters Cup",2017,2017-05-19,1803.3,0.8
"41011","Paul McBeth","Beaver",2017,2017-06-09,1825.3,4.6
"41114","Eagle McMahon","Beaver",2017,2017-06-09,1716.6,10.4
"41118","Richard Wysocki","Beaver",2017,2017-06-09,1806.5,3.2
"41178","Anthony Barela","Beaver",2017,2017-06-09,1617.1,9.2
"41195","Calvin Heimburg","Beaver",2017,2017-06-09,1593.1,11.9
"41547","Simon Lizotte","World",2017,2017-06-21,1740,9.7
"41570","Nikko Locastro","World",2017,2017-06-21,1739.9,0
"41595","James Conrad","World",2017,2017-06-21,1658.2,11.9
"41600","Matthew Orum","World",2017,2017-06-21,1693,9.3
"41663","Paul McBeth","World",2017,2017-06-21,1830,4.7
"41766","Eagle McMahon","World",2017,2017-06-21,1721.8,5.2
"41770","Richard Wysocki","World",2017,2017-06-21,1815.1,8.5
"41847","Calvin Heimburg","World",2017,2017-06-21,1615.3,22.2
"41889","Chris Clemons","World",2017,2017-06-21,1608.1,22.1
"41893","Isaac Robinson","World",2017,2017-06-21,1536.4,32.6
"42047","Chris Dickerson","World",2017,2017-06-21,1657.8,17.6
"42199","Simon Lizotte","European Open",2017,2017-07-20,1746.3,6.3
"42315","Paul McBeth","European Open",2017,2017-07-20,1834.2,4.2
"42418","Eagle McMahon","European Open",2017,2017-07-20,1725.5,3.7
"42422","Richard Wysocki","European Open",2017,2017-07-20,1811.2,-3.9
"42851","Simon Lizotte","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1755.9,9.6
"42874","Nikko Locastro","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1735.5,-4.4
"42899","James Conrad","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1673.7,15.5
"42967","Paul McBeth","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1841.1,6.9
"43070","Eagle McMahon","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1730.7,5.2
"43074","Richard Wysocki","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1815.9,4.7
"43136","Corey Ellis","Pittsburgh Flying Disc Open Presented by Discraft",2017,2017-08-25,1509.5,10.6
